,index,AT_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
0,87656,7035.0,6343.0,36.0,2.0,109.0,3.27,-4.179,1.5614,25.9639
1,87657,7394.0,6882.0,41.0,10.0,146.0,3.23,-2.807,7.5467,75.0443
2,87658,7770.0,6963.0,45.0,21.0,146.0,3.22,-1.315,17.2073,116.9171
3,87659,7820.0,7110.0,50.0,32.0,158.0,3.22,-0.051,35.4289,146.8923
4,87660,7694.0,7136.0,51.0,37.0,187.0,3.0,0.791,58.5238,151.4721
5,87661,7565.0,7013.0,48.0,35.0,244.0,2.8,1.234,59.1383,131.9586
6,87662,7469.0,6735.0,47.0,27.0,299.0,2.61,1.186,32.5552,95.5056
7,87663,7581.0,6543.0,46.0,14.0,327.0,2.41,0.46,6.6182,38.6153
8,87664,8157.0,6603.0,51.0,3.0,346.0,2.44,-0.586,0.16,1.3147
9,87665,8458.0,6735.0,61.0,0.0,310.0,2.56,-1.445,0.0,0.0
10,87666,8391.0,6626.0,58.0,0.0,205.0,2.54,-1.879,0.0,0.0
11,87667,8078.0,6738.0,54.0,0.0,222.0,2.44,-2.239,0.0,0.0
12,87668,7635.0,6654.0,44.0,0.0,251.0,2.25,-2.376,0.0,0.0
13,87669,7219.0,6255.0,35.0,0.0,138.0,2.2,-2.551,0.0,0.0
14,87670,7234.0,6221.0,33.0,0.0,92.0,2.27,-2.739,0.0,0.0
15,87671,6778.0,5864.0,21.0,0.0,103.0,2.44,-2.716,0.0,0.0
16,87672,6459.0,5533.0,15.0,0.0,106.0,2.6,-2.599,0.0,0.0
17,87673,6210.0,5205.0,9.0,0.0,79.0,2.62,-2.383,0.0,0.0
18,87674,6101.0,4971.0,5.0,0.0,126.0,2.58,-2.1,0.0,0.0
19,87675,6018.0,4669.0,-5.0,0.0,195.0,2.56,-1.744,0.0,0.0
20,87676,6218.0,4756.0,-4.0,0.0,225.0,2.56,-1.549,0.0,0.0
21,87677,6915.0,5080.0,-4.0,0.0,237.0,2.68,-1.68,0.0,0.0
22,87678,7604.0,5422.0,9.0,0.0,211.0,2.84,-1.849,0.0,0.0
23,87679,8360.0,5856.0,26.0,0.0,242.0,3.03,-2.036,0.0718,0.631
24,87680,8795.0,6366.0,36.0,3.0,302.0,3.19,-1.411,13.7908,37.5356
25,87681,9053.0,6431.0,42.0,15.0,369.0,3.2,0.513,68.0748,80.9344
26,87682,9131.0,6699.0,41.0,33.0,413.0,3.36,2.151,136.944,97.4019
27,87683,9060.0,6543.0,45.0,50.0,407.0,3.63,3.286,193.0618,97.0962
28,87684,8836.0,6310.0,47.0,58.0,424.0,3.73,4.013,192.043,99.1527
29,87685,8840.0,6257.0,46.0,55.0,478.0,3.76,4.081,109.1949,112.9073
30,87686,8830.0,6307.0,44.0,41.0,520.0,4.03,3.183,21.2788,89.0074
31,87687,8996.0,6502.0,44.0,20.0,578.0,4.64,2.012,1.5623,25.8723
32,87688,9576.0,6889.0,53.0,4.0,553.0,4.79,1.385,0.0195,0.6294
33,87689,9766.0,5972.0,65.0,0.0,1048.0,4.96,1.386,0.0,0.0
34,87690,9378.0,5892.0,62.0,0.0,1498.0,4.89,1.564,0.0,0.0
35,87691,8787.0,5807.0,52.0,0.0,1615.0,4.86,1.663,0.0,0.0
36,87692,8214.0,5313.0,41.0,0.0,1702.0,4.86,1.559,0.0,0.0
37,87693,7639.0,5379.0,30.0,0.0,1637.0,4.93,1.244,0.0,0.0
38,87694,7602.0,5325.0,28.0,0.0,1512.0,4.93,0.775,0.0,0.0
39,87695,7060.0,5145.0,21.0,0.0,1407.0,4.95,0.363,0.0,0.0
40,87696,6681.0,5827.0,6.0,0.0,1373.0,4.95,0.034,0.0,0.0
41,87697,6306.0,5779.0,0.0,0.0,1350.0,4.96,-0.292,0.0,0.0
42,87698,6071.0,5467.0,-2.0,0.0,1304.0,5.14,-0.555,0.0,0.0
43,87699,5952.0,5201.0,-1.0,0.0,1241.0,5.13,-0.892,0.0,0.0
44,87700,6091.0,5244.0,2.0,0.0,1146.0,5.01,-1.237,0.0,0.0
45,87701,6482.0,5405.0,4.0,0.0,1423.0,4.68,-1.493,0.0,0.0
46,87702,6940.0,5402.0,8.0,0.0,1366.0,4.27,-1.641,0.0,0.0
47,87703,7632.0,5553.0,15.0,1.0,1323.0,3.89,-1.763,0.0363,0.6275
